pl_name,hostname,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt
OGLE-TR-10 b,OGLE-TR-10,OGLE,3.101278,0.0434,14.011,1.25,197.046,0.62,0.82,1.21,1702.0
OGLE-TR-111 b,OGLE-TR-111,OGLE,4.0144463,0.0473,11.422,1.0190000000000001,174.799,0.55,0.54,1.21,1019.0
OGLE-TR-113 b,OGLE-TR-113,OGLE,1.4324752,0.02289,12.251,1.093,400.449,1.26,0.15,1.21,1342.0
OGLE-TR-132 b,OGLE-TR-132,OGLE,1.689868,0.03035,13.45,1.2,375.02,1.18,0.6,1.21,2013.0
OGLE-TR-182 b,OGLE-TR-182,OGLE,3.9791,0.051,12.665999999999999,1.13,320.995,1.01,0.0,1.21,1550.0
OGLE-TR-211 b,OGLE-TR-211,OGLE,3.67724,0.051,15.244000000000002,1.36,327.351,1.03,0.0,1.21,1686.0
OGLE-TR-56 b,OGLE-TR-56,OGLE,1.2119189,0.02383,15.277999999999999,1.3630000000000002,441.77,1.39,0.67,1.21,2212.0
OGLE2-TR-L9 b,OGLE2-TR-L9,OGLE,2.4855335,0.0308,18.046,1.61,1430.175,4.5,0.19,1.21,2034.0
Oph 11 b,Oph 11,Gemini Observatory,7300000.0,243.0,12.3,1.1,4449.62,14.0,0.19,1.21,2175.0
PDS 70 b,PDS 70,Paranal Observatory,43500.0,20.0,30.488000000000003,2.72,953.49,3.0,0.19,1.21,1204.0
PDS 70 c,PDS 70,European Southern Observatory,138.317,34.0,22.866,2.04,635.66,2.0,0.11,1.21,995.0
PH1 b,PH1,Kepler,138.317,0.652,6.18,0.551,169.0,0.531,0.0702,1.21,481.0
PH2 b,PH2,Kepler,282.5255,0.828,10.12,0.903,25426.4,80.0,0.41,1.21,281.0
POTS-1 b,POTS-1,La Silla Observatory,3.1606296,0.03734,10.548,0.941,734.16,2.31,0.236,0.65,234.0
PSR B0329+54 b,PSR B0329+54,Multiple Facilities,10140.0,10.26,1.22,0.109,1.97,0.0062,0.236,0.65,234.0
PSR B1257+12 b,PSR B1257+12,Arecibo Observatory,25.262,0.19,0.33799999999999997,0.03,0.02,5.9999999999999995e-05,0.0,0.65,234.0
PSR B1257+12 c,PSR B1257+12,Arecibo Observatory,66.5419,0.36,1.91,0.17,4.3,0.01353,0.0186,0.65,234.0
PSR B1257+12 d,PSR B1257+12,Arecibo Observatory,98.2114,0.46,1.8,0.161,3.9,0.01227,0.0264,0.65,234.0
PSR B1620-26 b,PSR B1620-26,Hubble Space Telescope,0.09070629,23.0,13.3,1.18,794.575,2.5,0.06,0.65,234.0
PSR J1719-1438 b,PSR J1719-1438,Parkes Observatory,0.09070629,0.0044,13.9,1.24,382.8,1.2,0.06,0.65,234.0
PSR J2322-2650 b,PSR J2322-2650,Parkes Observatory,0.322964,0.0102,13.9,1.24,252.64307000000002,0.7949,0.0017,0.65,234.0
Pr0201 b,Pr0201,Fred Lawrence Whipple Observatory,4.4264,0.06,14.2,1.27,171.6282,0.54,0.0,0.65,234.0
Pr0211 b,Pr0211,Fred Lawrence Whipple Observatory,2.1461,0.031760000000000004,13.4,1.2,597.5204,1.88,0.011,0.65,234.0
Pr0211 c,Pr0211,Roque de los Muchachos Observatory,4850.0,5.5,12.6,1.12,2475.8957,7.79,0.71,0.65,234.0
Proxima Cen b,Proxima Cen,European Southern Observatory,11.186,0.0485,1.08,0.096,1.27,0.004,0.35,0.65,234.0
Qatar-1 b,Qatar-1,Qatar,1.4200242,0.02332,12.812000000000001,1.143,411.27202,1.294,0.0,1330.0,1418.0
Qatar-10 b,Qatar-10,Qatar,1.645321,0.0286,17.295,1.5430000000000001,233.92288,0.736,0.0,1330.0,1955.0
Qatar-2 b,Qatar-2,Qatar,1.33711647,0.02153,14.056,1.254,792.635,2.494,0.0,1330.0,1344.0
Qatar-3 b,Qatar-3,Qatar,2.5079204,0.03783,12.285,1.0959999999999999,1369.8473,4.31,0.0,1330.0,1681.0
Qatar-4 b,Qatar-4,Qatar,1.8053564,0.028030000000000003,12.722000000000001,1.135,1938.763,6.1,0.0,614.0,1385.0
Qatar-5 b,Qatar-5,Qatar,2.8792319,0.04127,12.408,1.107,1373.0256,4.32,0.0,669.0,1415.0
Qatar-6 b,Qatar-6,Qatar,3.506195,0.0423,11.904000000000002,1.062,212.31044,0.668,0.0,1.38,1006.0
Qatar-7 b,Qatar-7,Qatar,2.032046,0.0352,19.055,1.7,597.5204,1.88,0.0,1.38,2053.0
Qatar-8 b,Qatar-8,Qatar,3.71495,0.0474,14.404000000000002,1.285,117.91493,0.371,0.0,1.38,1457.0
Qatar-9 b,Qatar-9,Qatar,1.540731,0.0234,11.31,1.0090000000000001,378.2177,1.19,0.0,1.38,1134.0
ROXs 12 b,ROXs 12,W. M. Keck Observatory,4343.5,210.0,12.2,1.09,5085.0,16.0,0.83,1.38,1975.0
ROXs 42 B b,ROXs 42 B,Multiple Observatories,4343.5,157.0,12.5,1.12,2860.0,9.0,0.58,1.38,1975.0
RR Cae b,RR Cae,Leoncito Astronomical Complex,4343.5,5.3,13.0,1.16,1334.886,4.2,0.0,1.38,301.0
Ross 128 b,Ross 128,La Silla Observatory,9.8658,0.0496,1.11,0.099,1.4,0.0044,0.116,1.38,301.0
Ross 458 c,Ross 458,Las Campanas Observatory,1.796,1100.0,14.011,1.25,1906.98,6.0,0.575,210.17,974.0
SR 12 AB c,SR 12 AB,Infrared Survey Facility,1.796,0.03,12.3,1.1,4131.62,13.0,0.575,210.17,974.0
SWEEPS-11 b,SWEEPS-11,Hubble Space Telescope,1.796,0.03,12.665999999999999,1.13,3082.82,9.7,0.575,210.17,974.0
SWEEPS-4 b,SWEEPS-4,Hubble Space Telescope,4.2,0.055,9.079,0.81,1207.7,3.8,0.575,210.17,974.0
TAP 26 b,TAP 26,Multiple Facilities,10.79,0.0968,13.5,1.2,527.5978,1.66,0.575,210.17,974.0
TCP J05074264+2447555 b,TCP J05074264+2447555,Multiple Observatories,15.168865,0.5,2.99,0.266,9.2,0.029,0.575,210.17,974.0
TIC 237913194 b,TIC 237913194,Transiting Exoplanet Survey Satellite (TESS),15.168865,0.1207,12.52,1.117,617.22586,1.942,0.575,210.17,974.0
TOI-1130 b,TOI-1130,Transiting Exoplanet Survey Satellite (TESS),4.066499,0.04394,3.65,0.326,12.9,0.0407,0.22,48.04,810.0
TOI-1130 c,TOI-1130,Transiting Exoplanet Survey Satellite (TESS),8.350381,0.07098,16.814,1.5,309.56642,0.974,0.047,19.93,637.0
TOI-122 b,TOI-122,Transiting Exoplanet Survey Satellite (TESS),5.07803,0.0392,2.72,0.243,7.85,0.0247,0.0,8.8,471.0
TOI-1235 b,TOI-1235,Transiting Exoplanet Survey Satellite (TESS),3.444729,0.03845,1.7380000000000002,0.155,6.91,0.02174,0.15,53.6,754.0
TOI-125 b,TOI-125,Transiting Exoplanet Survey Satellite (TESS),4.65382,0.05186,2.7260000000000004,0.243,9.5,0.029889999999999996,0.194,185.0,1037.0
TOI-125 c,TOI-125,Transiting Exoplanet Survey Satellite (TESS),9.15059,0.0814,2.759,0.24600000000000002,6.63,0.02086,0.066,77.59,828.0
TOI-125 d,TOI-125,Transiting Exoplanet Survey Satellite (TESS),19.98,0.137,2.93,0.261,13.6,0.042789999999999995,0.168,26.7,638.0
TOI-1266 b,TOI-1266,Transiting Exoplanet Survey Satellite (TESS),10.894843,0.0736,2.37,0.21100000000000002,13.5,0.042480000000000004,0.09,4.9,413.0
TOI-1266 c,TOI-1266,Transiting Exoplanet Survey Satellite (TESS),18.80151,0.1058,1.56,0.139,2.2,0.00692,0.04,2.3,344.0
TOI-132 b,TOI-132,Transiting Exoplanet Survey Satellite (TESS),2.1097019,0.026,3.42,0.305,22.4,0.07048,0.059,860.0,1395.0
TOI-1333 b,TOI-1333,Transiting Exoplanet Survey Satellite (TESS),4.720219,0.0626,15.648,1.396,753.2571,2.37,0.073,1076.67,1679.0
TOI-1338 b,TOI-1338,Transiting Exoplanet Survey Satellite (TESS),95.174,0.4607,6.85,0.611,33.0,0.10382999999999999,0.088,65.01,724.0
TOI-1478 b,TOI-1478,Transiting Exoplanet Survey Satellite (TESS),10.180249,0.0903,11.882,1.06,270.47333,0.851,0.024,751.0,918.0
TOI-150.01,TOI-150,Transiting Exoplanet Survey Satellite (TESS),5.857487,0.07037,14.067,1.255,797.7533,2.51,0.262,751.0,1404.0
TOI-157 b,TOI-157,Transiting Exoplanet Survey Satellite (TESS),2.0845435,0.03138,14.415,1.286,375.0394,1.18,0.0,1062.0,1588.0
TOI-1601 b,TOI-1601,Transiting Exoplanet Survey Satellite (TESS),5.331751,0.06863999999999999,13.888,1.239,314.6517,0.99,0.036,1071.42,1619.0
TOI-163 b,TOI-163,Transiting Exoplanet Survey Satellite (TESS),4.231306,0.058,16.69,1.489,387.7526,1.22,0.0,1489.15,1669.0
TOI-169 b,TOI-169,Transiting Exoplanet Survey Satellite (TESS),2.2554477,0.03524,12.173,1.0859999999999999,251.40353,0.791,0.0,1443.0,1715.0
