,pl_name,hostname,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt
2321,Kepler-1636 b,Kepler-1636,Kepler,425.47785,1.1546,3.23,10.5,0.0,1.22,248.0
2322,Kepler-1637 b,Kepler-1637,Kepler,6.10960324,0.0596,0.89,0.64,0.0,337.78,1093.0
2323,Kepler-1638 b,Kepler-1638,Kepler,259.33682999999996,0.745,1.87,4.16,0.0,2.76,304.0
2324,Kepler-1639 b,Kepler-1639,Kepler,9.878482,0.0932,2.58,7.18,0.0,187.85,1003.0
2325,Kepler-164 b,Kepler-164,Kepler,5.03503,0.057999999999999996,1.41,2.57,0.0,370.92,1141.0
2326,Kepler-164 c,Kepler-164,Kepler,10.945723,0.09699999999999999,2.73,7.9,0.0,131.49,881.0
2327,Kepler-164 d,Kepler-164,Kepler,28.986769,0.187,2.45,6.57,0.0,35.89,637.0
2328,Kepler-1640 b,Kepler-1640,Kepler,7.5844125999999985,0.0836,4.82,20.7,0.0,537.4,1228.0
2329,Kepler-1641 b,Kepler-1641,Kepler,19.672266,0.1473,3.11,9.85,0.0,82.83,908.0
2330,Kepler-1641 c,Kepler-1641,Kepler,32.657212,0.2065,2.95,9.01,0.0,42.15,767.0
2331,Kepler-1642 b,Kepler-1642,Kepler,12.205751300000001,0.1016,3.2,10.3,0.0,39.91,895.0
2332,Kepler-1642 c,Kepler-1642,Kepler,6.651380199999999,0.0678,2.66,7.56,0.0,89.63,1095.0
2333,Kepler-1643 b,Kepler-1643,Kepler,5.34264507,0.0531,2.3,5.9,0.0,137.75,799.0
2334,Kepler-1644 b,Kepler-1644,Kepler,21.0907758,0.142,1.88,4.19,0.0,31.86,606.0
2335,Kepler-1645 b,Kepler-1645,Kepler,16.1779561,0.1285,1.78,3.82,0.0,138.54,754.0
2336,Kepler-1646 b,Kepler-1646,Kepler,4.48558383,0.0295,1.23,2.04,0.0,4.2,365.0
2337,Kepler-1647 b,Kepler-1647,Kepler,1107.5923,2.7205,11.874,483.0,0.0581,2.21,307.0
2338,Kepler-1649 b,Kepler-1649,Kepler,8.689099,0.0514,1.017,1.03,0.0,2.21,307.0
2339,Kepler-1649 c,Kepler-1649,Kepler,19.53527,0.0649,1.06,1.2,0.0,0.75,234.0
2340,Kepler-165 b,Kepler-165,Kepler,8.180848,0.07200000000000001,2.32,5.99,0.0,59.8,716.0
2341,Kepler-165 c,Kepler-165,Kepler,15.31299,0.11,2.23,5.6,0.0,25.93,581.0
2342,Kepler-1650 b,Kepler-1650,Kepler,1.53818001,0.0167,0.96,0.84,0.01,54.56,602.0
2343,Kepler-1651 b,Kepler-1651,Kepler,9.87863917,0.0692,1.84,4.04,0.13,5.65,393.0
2344,Kepler-1652 b,Kepler-1652,Kepler,38.09722,0.1654,1.6,3.19,0.0,0.81,268.0
2345,Kepler-1653 b,Kepler-1653,Kepler,140.2524,0.4706,2.17,5.35,0.0,0.98,284.0
2346,Kepler-1654 b,Kepler-1654,Kepler,1047.8356,2.026,9.18,158.915,0.26,0.3,206.0
2347,Kepler-1655 b,Kepler-1655,Kepler,11.8728787,0.10300000000000001,2.213,5.0,0.0,155.0,863.0
2348,Kepler-1656 b,Kepler-1656,Kepler,31.578659000000002,0.19699999999999998,5.02,48.6,0.836,24.94,651.0
2349,Kepler-1658 b,Kepler-1658,Kepler,3.84937278,0.0544,11.994000000000002,1868.8404,0.0628,4055.29,2034.0
2350,Kepler-166 b,Kepler-166,Kepler,7.650253999999999,0.07200000000000001,2.27,5.77,0.0,77.54,772.0
2351,Kepler-166 c,Kepler-166,Kepler,34.260281,0.195,2.38,6.26,0.0,10.51,468.0
2352,Kepler-166 d,Kepler-166,Kepler,1.55400393,0.0246,1.73,3.64,0.0,651.41,1313.0
2353,Kepler-1661 b,Kepler-1661,Kepler,175.06,0.633,3.87,17.0,0.057,0.88,243.0
2354,Kepler-1663 b,Kepler-1663,Kepler,17.6046,0.1072,3.304,10.9,0.0,4.07,362.0
2355,Kepler-1664 b,Kepler-1664,Kepler,14.3868,0.1137,3.033,9.45,0.0,85.46,776.0
